,,,,,,"Over 23,5",,bet,odd,Resultado
LOUD,paiN Gaming,19,8,27,,0,,"R$ 2,60","1,84","R$ 0,00"
paiN Gaming,LOUD,7,22,29,,1,,"R$ 2,60","1,84","R$ 4,78"
LOUD,paiN Gaming,12,18,30,,1,,"R$ 2,60","1,84","R$ 4,78"
LOUD,paiN Gaming,8,19,27,,0,,"R$ 2,60","1,84","R$ 0,00"
paiN Gaming,LOUD,19,14,33,,1,,"R$ 2,60","1,84","R$ 4,78"
RED Canids,KaBuM! e-Sports,19,3,22,,0,,"R$ 2,60","1,84","R$ 0,00"
KaBuM! e-Sports,RED Canids,17,8,25,,0,,"R$ 2,60","1,84","R$ 0,00"
RED Canids,KaBuM! e-Sports,13,11,24,,0,,"R$ 2,60","1,84","R$ 0,00"
KaBuM! e-Sports,RED Canids,13,26,39,,1,,"R$ 2,60","1,84","R$ 4,78"
Flamengo Esports,paiN Gaming,14,22,36,,1,,"R$ 2,60","1,84","R$ 4,78"
Flamengo Esports,paiN Gaming,24,11,35,,1,,"R$ 2,60","1,84","R$ 4,78"
Flamengo Esports,paiN Gaming,4,13,17,,0,,"R$ 2,60","1,84","R$ 0,00"
Flamengo Esports,paiN Gaming,22,13,35,,1,,"R$ 2,60","1,84","R$ 4,78"
paiN Gaming,Flamengo Esports,14,6,20,,0,,"R$ 2,60","1,84","R$ 0,00"
,,,,,,,,,,
,,,,,,7,,"R$ 36,40",,"R$ 33,49"
