Semana 1,,Kills Blue Side,Kills Red Side,Total de Kills,,Barons,,Total barões,,,Cont Over,,
paiN Gaming,LOUD,13,15,28,,1,1,2,,"Over 1,5",1,4,40
Rensga Esports,FURIA Esports,16,20,36,,0,2,2,,"Over 1,5",1,,
KaBuM! e-Sports,RED Canids,9,23,32,,1,1,2,,"Over 1,5",1,,
INTZ,Cruzeiro eSports,8,18,26,,0,2,2,,"Over 1,5",1,,
Flamengo Esports,Vorax,18,3,21,,1,0,1,,"Under 1,5",0,,
RED Canids,INTZ,20,7,27,,1,0,1,,"Under 1,5",0,,
FURIA Esports,LOUD,3,13,16,,0,1,1,,"Under 1,5",0,,
Vorax,Rensga Esports,4,16,20,,0,1,1,,"Under 1,5",0,,
KaBuM! e-Sports,Flamengo Esports,4,19,23,,0,1,1,,"Under 1,5",0,,
Cruzeiro eSports,paiN Gaming,5,31,36,,0,1,1,,"Under 1,5",0,,
,,,,,,,,,,,,,
Semana 2,,,,,,Barons,,Total barões,,,,,
Flamengo Esports,INTZ,18,14,32,,3,0,3,,"Over 1,5",1,4,40
Rensga Esports,KaBuM! e-Sports,15,27,42,,1,1,2,,"Over 1,5",1,,
Cruzeiro eSports,RED Canids,6,12,18,,0,1,1,,"Under 1,5",0,,
LOUD,Vorax,7,14,21,,0,1,1,,"Under 1,5",0,,
paiN Gaming,FURIA Esports,19,5,24,,1,1,2,,"Over 1,5",1,,
KaBuM! e-Sports,LOUD,11,18,29,,0,1,1,,"Under 1,5",0,,
INTZ,Rensga Esports,15,5,20,,2,0,2,,"Over 1,5",1,,
Cruzeiro eSports,Flamengo Esports,7,14,21,,0,1,1,,"Under 1,5",0,,
Vorax,FURIA Esports,18,5,23,,1,0,1,,"Under 1,5",0,,
RED Canids,paiN Gaming,15,5,20,,1,0,1,,"Under 1,5",0,,
,,,,,,,,,,,,,
Semana 3,,,,,,Barons,,Total barões,,,,,
paiN Gaming,Vorax,2,17,19,,0,1,1,,"Under 1,5",0,2,20
FURIA Esports,KaBuM! e-Sports,7,18,25,,0,0,0,,"Under 1,5",0,,
Flamengo Esports,RED Canids,21,8,29,,1,0,1,,"Under 1,5",0,,
Rensga Esports,Cruzeiro eSports,17,7,24,,1,0,1,,"Under 1,5",0,,
LOUD,INTZ,17,8,25,,2,0,2,,"Over 1,5",1,,
Flamengo Esports,paiN Gaming,19,6,25,,1,0,1,,"Under 1,5",0,,
RED Canids,Rensga Esports,20,6,26,,1,0,1,,"Under 1,5",0,,
INTZ,FURIA Esports,19,2,21,,0,1,1,,"Under 1,5",0,,
KaBuM! e-Sports,Vorax,19,11,30,,2,0,2,,"Over 1,5",1,,
Cruzeiro eSports,LOUD,18,6,24,,1,0,1,,"Under 1,5",0,,
,,,,,,,,,,,,,
Semana 4,,,,,,Barons,,Total barões,,,,,
Vorax,INTZ,28,9,37,,1,0,1,,"Under 1,5",0,5,50
FURIA Esports,Cruzeiro eSports,3,10,13,,0,2,2,,"Over 1,5",1,,
LOUD,RED Canids,11,27,38,,1,1,2,,"Over 1,5",1,,
Rensga Esports,Flamengo Esports,5,15,20,,0,1,1,,"Under 1,5",0,,
paiN Gaming,KaBuM! e-Sports,13,19,32,,0,2,2,,"Over 1,5",1,,
Flamengo Esports,LOUD,17,3,20,,1,0,1,,"Under 1,5",0,,
RED Canids,FURIA Esports,24,16,40,,2,0,2,,"Over 1,5",1,,
Rensga Esports,paiN Gaming,9,18,27,,0,2,2,,"Over 1,5",1,,
Cruzeiro eSports,Vorax,13,21,34,,0,1,1,,"Under 1,5",0,,
INTZ,KaBuM! e-Sports,20,3,23,,1,0,1,,"Under 1,5",0,,
,,,,,,,,,,,,,
Semana 5,,,,,,Barons,,Total barões,,,,,
LOUD,Rensga Esports,18,9,27,,1,0,1,,"Under 1,5",0,3,30
KaBuM! e-Sports,Cruzeiro eSports,18,12,30,,1,0,1,,"Under 1,5",0,,
paiN Gaming,INTZ,23,16,39,,2,0,2,,"Over 1,5",1,,
Vorax,RED Canids,16,6,22,,1,0,1,,"Under 1,5",0,,
FURIA Esports,Flamengo Esports,7,13,20,,1,1,2,,"Over 1,5",1,,
Cruzeiro eSports,INTZ,6,18,24,,0,1,1,,"Under 1,5",0,,
Vorax,Flamengo Esports,21,17,38,,0,1,1,,"Under 1,5",0,,
RED Canids,KaBuM! e-Sports,24,30,54,,3,1,4,,"Over 1,5",1,,
FURIA Esports,Rensga Esports,11,8,19,,1,0,1,,"Under 1,5",0,,
LOUD,paiN Gaming,21,16,37,,1,0,1,,"Under 1,5",0,,
,,,,,,,,,,,,,
Semana 6,,,,,,Barons,,Total barões,,,,,
LOUD,FURIA Esports,24,18,42,,2,1,3,,"Over 1,5",1,5,50
INTZ,RED Canids,11,14,25,,0,1,1,,"Under 1,5",0,,
paiN Gaming,Cruzeiro eSports,19,9,28,,2,0,2,,"Over 1,5",1,,
Flamengo Esports,KaBuM! e-Sports,10,15,25,,0,2,2,,"Over 1,5",1,,
FURIA Esports,paiN Gaming,9,26,35,,0,1,1,,"Under 1,5",0,,
KaBuM! e-Sports,Rensga Esports,14,2,16,,1,0,1,,"Under 1,5",0,,
RED Canids,Cruzeiro eSports,20,6,26,,1,0,1,,"Under 1,5",0,,
INTZ,Flamengo Esports,11,17,28,,0,2,2,,"Over 1,5",1,,
Rensga Esports,Vorax,6,18,24,,0,1,1,,"Under 1,5",0,,
Vorax,LOUD,17,11,28,,2,0,2,,"Over 1,5",1,,
,,,,,,,,,,,,,
Baron,,,,,,,,,,,,,
