Semana 1,,Kills Blue,Kills Red,Total,,Media Total semana,,,
paiN Academy,LOUD Academy,5,17,22,,"27,9",,,
Rensga Academy,FURIA Academy,6,21,27,,,,,
KaBuM! Academy,RED Academy,12,22,34,,,,,
INTZ Academy,Cruzeiro Academy,18,16,34,,,,,
Flamengo Academy,Vorax Academy,21,14,35,,,,,
RED Academy,INTZ Academy,11,10,21,,,,,
FURIA Academy,LOUD Academy,22,15,37,,,,,
Vorax Academy,Rensga Academy,6,13,19,,,,,
KaBuM! Academy,Flamengo Academy,5,18,23,,,,,
Cruzeiro Academy,paiN Academy,9,18,27,,,,,
Semana 2,,Kills Blue,Kills Red,,,,,,
Flamengo Academy,INTZ Academy,24,15,39,,"30,9",,,
Rensga Academy,KaBuM! Academy,28,18,46,,,,,
Cruzeiro Academy,RED Academy,10,15,25,,,,,
LOUD Academy,Vorax Academy,16,7,23,,,,,
paiN Academy,FURIA Academy,19,11,30,,,,,
KaBuM! Academy,LOUD Academy,15,17,32,,,,,
INTZ Academy,Rensga Academy,5,23,28,,,,,
Cruzeiro Academy,Flamengo Academy,17,12,29,,,,,
Vorax Academy,FURIA Academy,9,18,27,,,,,
RED Academy,paiN Academy,19,11,30,,,,,
Semana 3,,Kills Blue,Kills Red,,,,,,
paiN Academy,Vorax Academy,18,6,24,,"24,7",,,
FURIA Academy,KaBuM! Academy,10,7,17,,,,Loud,30
Flamengo Academy,RED Academy,16,6,22,,,,Furia,24
Flamengo Academy,paiN Academy,16,7,23,,,,,
RED Academy,Rensga Academy,4,13,17,,,,,
INTZ Academy,FURIA Academy,12,19,31,,,,,
KaBuM! Academy,Vorax Academy,6,13,19,,,,,
Cruzeiro Academy,LOUD Academy,7,14,21,,,,,
Rensga Academy,Cruzeiro Academy,21,13,34,,,,,
LOUD Academy,INTZ Academy,25,14,39,,,,,
Semana 4,,Kills Blue,Kills Red,,,,,,
Vorax Academy,INTZ Academy,12,6,18,,24,,,
FURIA Academy,Cruzeiro Academy,17,6,23,,,,Loud,"22,5"
LOUD Academy,RED Academy,9,8,17,,,,Furia,"21,5"
Rensga Academy,Flamengo Academy,11,24,35,,,,Red,"18,5"
paiN Academy,KaBuM! Academy,12,6,18,,,,Intz,18
Flamengo Academy,LOUD Academy,16,12,28,,,,Pain,"31,5"
RED Academy,FURIA Academy,13,7,20,,,,Cruzeiro,"22,5"
Rensga Academy,paiN Academy,15,26,41,,,,Kabum,18
Cruzeiro Academy,Vorax Academy,14,8,22,,,,Flamengo,"31,5"
INTZ Academy,KaBuM! Academy,1,17,18,,,,Vorax,20
Semana 5,,Kills Blue,Kills Red,,,,,Rensga,"25,3333333333333"
LOUD Academy,Rensga Academy,22,7,29,,"26,9",,,
KaBuM! Academy,Cruzeiro Academy,17,6,23,,,,Loud,"27,5"
paiN Academy,INTZ Academy,10,10,20,,,,Furia,"36,5"
Vorax Academy,RED Academy,20,10,30,,,,Red,"26,5"
FURIA Academy,Flamengo Academy,14,24,38,,,,Intz,23
Cruzeiro Academy,INTZ Academy,11,15,26,,,,Pain,23
Vorax Academy,Flamengo Academy,17,2,19,,,,Cruzeiro,"24,5"
RED Academy,KaBuM! Academy,13,10,23,,,,Flamengo,21
FURIA Academy,Rensga Academy,14,21,35,,,,Vorax,"24,5"
LOUD Academy,paiN Academy,17,9,26,,,,Rensga,32
Semana 6,,,,,,,,Kabum,23
LOUD Academy,FURIA Academy,8,11,,,,,,
INTZ Academy,RED Academy,15,15,,,,,,
paiN Academy,Cruzeiro Academy,8,16,,,,,,
Rensga Academy,Vorax Academy,8,17,,,,,,
Flamengo Academy,KaBuM! Academy,28,23,,,,,,
