Semana  8 (2),,numdragons,,total dragons,,"Over 4,5",,Time a Dragon,Time b Dragon,,,
Team WE,Oh My God,0,4,4,,0,,0,1,1,,0
Team WE,Oh My God,3,1,4,,0,,1,1,2,,
Team WE,Oh My God,3,2,5,,1,,1,1,2,,
EDward Gaming,LNG Esports,3,1,4,,0,,1,1,2,,
LNG Esports,EDward Gaming,0,4,4,,0,,0,1,1,,
LGD Gaming,eStar,3,2,5,,1,,1,1,2,,
LGD Gaming,eStar,4,1,5,,1,,1,1,2,,
TT Gaming,FunPlus Phoenix,4,0,4,,0,,1,0,1,,
TT Gaming,FunPlus Phoenix,1,3,4,,0,,1,1,2,,
FunPlus Phoenix,TT Gaming,1,2,3,,0,,1,1,2,,
Semana  8 (3),,,,,,,,,,,,
Rogue Warriors,Bilibili Gaming,4,1,5,,1,,1,1,2,,
Rogue Warriors,Bilibili Gaming,2,1,3,,0,,1,1,2,,
Rare Atom,Invictus Gaming,2,2,4,,0,,1,1,2,,
Rare Atom,Invictus Gaming,2,2,4,,0,,1,1,2,,
EDward Gaming,Top Esports,1,3,4,,0,,1,1,2,,
Top Esports,EDward Gaming,1,5,6,,1,,1,1,2,,
EDward Gaming,Top Esports,2,3,5,,1,,1,1,2,,
LNG Esports,Oh My God,2,1,3,,0,,1,1,2,,
LNG Esports,Oh My God,5,0,5,,1,,1,0,1,,
Suning,Team WE,0,4,4,,0,,0,1,1,,
Team WE,Suning,3,2,5,,1,,1,1,2,,
RNG,JD Gaming,1,4,5,,1,,1,1,2,,
RNG,JD Gaming,2,2,4,,0,,1,1,2,,
Semana 9,,,,,,,,,,,,
LGD Gaming,Rare Atom,4,1,5,,1,,1,1,2,,
Rare Atom,LGD Gaming,3,1,4,,0,,1,1,2,,
LGD Gaming,Rare Atom,5,3,8,,1,,1,1,2,,
TT Gaming,Invictus Gaming,0,3,3,,0,,0,1,1,,
TT Gaming,Invictus Gaming,1,3,4,,0,,1,1,2,,
LGD Gaming,Oh My God,0,4,4,,0,,0,1,1,,
Oh My God,LGD Gaming,1,4,5,,1,,1,1,2,,
LGD Gaming,Oh My God,1,4,5,,1,,1,1,2,,
Victory Five,Top Esports,0,3,3,,0,,0,1,1,,
Top Esports,Victory Five,2,2,4,,0,,1,1,2,,
Semana  9 (2),,,,,,,,,,,,
TT Gaming,Rogue Warriors,1,4,5,,1,,1,1,2,,
TT Gaming,Rogue Warriors,4,0,4,,0,,1,0,1,,
Team WE,Bilibili Gaming,0,4,4,,0,,0,1,1,,
Team WE,Bilibili Gaming,2,1,3,,0,,1,1,2,,
Team WE,Bilibili Gaming,4,0,4,,0,,1,0,1,,
EDward Gaming,eStar,3,0,3,,0,,1,0,1,,
eStar,EDward Gaming,1,2,3,,0,,1,1,2,,
JD Gaming,LNG Esports,1,3,4,,0,,1,1,2,,
LNG Esports,JD Gaming,1,4,5,,1,,1,1,2,,
Semana  9 (3),,,,,,,,,,,,
Victory Five,FunPlus Phoenix,1,2,3,,0,,1,1,2,,
FunPlus Phoenix,Victory Five,0,4,4,,0,,0,1,1,,
Top Esports,RNG,1,4,5,,1,,1,1,2,,
RNG,Top Esports,2,3,5,,1,,1,1,2,,
JD Gaming,LGD Gaming,3,1,4,,0,,1,1,2,,
LGD Gaming,JD Gaming,1,4,5,,1,,1,1,2,,
LNG Esports,Suning,1,3,4,,0,,1,1,2,,
Suning,LNG Esports,2,2,4,,0,,1,1,2,,
Semana 10,,,,,,,,,,,,
Rare Atom,RNG,1,3,4,,0,,1,1,2,,
Rare Atom,RNG,0,4,4,,0,,0,1,1,,
Victory Five,Invictus Gaming,0,3,3,,0,,0,1,1,,
Invictus Gaming,Victory Five,1,2,3,,0,,1,1,2,,
Victory Five,Invictus Gaming,2,2,4,,0,,1,1,2,,
Oh My God,JD Gaming,0,4,4,,0,,0,1,1,,
JD Gaming,Oh My God,3,0,3,,0,,1,0,1,,
Suning,Bilibili Gaming,4,1,5,,1,,1,1,2,,
Bilibili Gaming,Suning,1,3,4,,0,,1,1,2,,
TT Gaming,Top Esports,0,3,3,,0,,0,1,1,,
TT Gaming,Top Esports,3,1,4,,1,,1,1,2,,
Team WE,EDward Gaming,1,3,4,,1,,1,1,2,,
Team WE,EDward Gaming,3,1,4,,1,,1,1,2,,
